iter	Passed	Remaining
1384	590	262
1385	590	261
1386	591	261
1387	591	260
1388	591	260
1389	592	259
1390	592	259
1391	592	258
1392	593	258
1393	593	258
1394	594	257
1395	594	257
1396	594	256
1397	594	256
1398	595	255
1399	595	255
1400	595	254
1401	596	254
1402	596	253
1403	597	253
1404	597	252
1405	597	252
1406	597	251
1407	598	251
1408	598	251
1409	598	250
1410	599	250
1411	599	249
1412	600	249
1413	600	248
1414	600	248
1415	601	247
1416	601	247
1417	601	246
1418	601	246
1419	602	246
1420	602	245
1421	602	245
1422	603	244
1423	603	244
1424	603	243
1425	604	243
1426	604	242
1427	605	242
1428	605	241
1429	605	241
1430	605	240
1431	606	240
1432	606	239
1433	606	239
1434	607	239
1435	607	238
1436	607	238
1437	608	237
1438	608	237
1439	608	236
1440	609	236
1441	609	235
1442	609	235
1443	609	234
1444	610	234
1445	610	233
1446	611	233
1447	611	233
1448	611	232
1449	611	232
1450	612	231
1451	612	231
1452	613	230
1453	613	230
1454	613	229
1455	614	229
1456	614	228
1457	614	228
1458	614	228
1459	615	227
1460	615	227
1461	616	226
1462	616	226
1463	616	225
1464	616	225
1465	617	224
1466	617	224
1467	617	223
1468	618	223
1469	618	223
1470	619	222
1471	619	222
1472	619	221
1473	619	221
1474	620	220
1475	620	220
1476	620	219
1477	621	219
1478	621	219
1479	622	218
1480	622	218
1481	622	217
1482	622	217
1483	623	216
1484	623	216
1485	623	215
1486	624	215
1487	624	214
1488	624	214
1489	625	213
1490	625	213
1491	625	213
1492	626	212
1493	626	212
1494	626	211
1495	627	211
1496	627	210
1497	627	210
1498	628	209
1499	628	209
1500	628	209
1501	629	208
1502	629	208
1503	629	207
1504	630	207
1505	630	206
1506	630	206
1507	630	205
1508	631	205
1509	631	204
1510	631	204
1511	632	204
1512	632	203
1513	632	203
1514	633	202
1515	633	202
1516	633	201
1517	634	201
1518	634	200
1519	634	200
1520	635	200
1521	635	199
1522	635	199
1523	635	198
1524	636	198
1525	636	197
1526	636	197
1527	637	196
1528	637	196
1529	637	195
1530	638	195
1531	638	195
1532	638	194
1533	639	194
1534	639	193
1535	639	193
1536	639	192
1537	640	192
1538	640	191
1539	640	191
1540	641	190
1541	641	190
1542	641	190
1543	642	189
1544	642	189
1545	642	188
1546	643	188
1547	643	187
1548	643	187
1549	644	187
1550	644	186
1551	645	186
1552	645	185
1553	645	185
1554	646	184
1555	646	184
1556	646	184
1557	647	183
1558	647	183
1559	647	182
1560	648	182
1561	648	181
1562	648	181
1563	649	180
1564	649	180
1565	649	180
1566	649	179
1567	650	179
1568	650	178
1569	651	178
1570	651	177
1571	651	177
1572	652	177
1573	652	176
1574	652	176
1575	652	175
1576	653	175
1577	653	174
1578	653	174
1579	654	173
1580	654	173
1581	654	173
1582	655	172
1583	655	172
1584	655	171
1585	656	171
1586	656	170
1587	656	170
1588	657	169
1589	657	169
1590	657	169
1591	657	168
1592	658	168
1593	658	167
1594	658	167
1595	659	166
1596	659	166
1597	659	166
1598	660	165
1599	660	165
1600	660	164
1601	661	164
1602	661	163
1603	661	163
1604	662	162
1605	662	162
1606	662	162
1607	662	161
1608	663	161
1609	663	160
1610	663	160
1611	664	159
1612	664	159
1613	664	158
1614	665	158
1615	665	158
1616	665	157
1617	665	157
1618	666	156
1619	666	156
1620	666	155
1621	667	155
1622	667	155
1623	667	154
1624	668	154
1625	668	153
1626	668	153
1627	668	152
1628	669	152
1629	669	152
1630	669	151
1631	670	151
1632	670	150
1633	670	150
1634	671	149
1635	671	149
1636	671	148
1637	672	148
1638	672	148
1639	672	147
1640	673	147
1641	673	146
1642	673	146
1643	673	145
1644	674	145
1645	674	145
1646	674	144
1647	675	144
1648	675	143
1649	675	143
1650	675	142
1651	676	142
1652	676	142
1653	676	141
1654	677	141
1655	677	140
1656	677	140
1657	678	139
1658	678	139
1659	678	139
1660	678	138
1661	679	138
1662	679	137
1663	679	137
1664	680	136
1665	680	136
1666	680	136
1667	681	135
1668	681	135
1669	681	134
1670	682	134
1671	682	133
1672	682	133
1673	683	133
1674	683	132
1675	683	132
1676	683	131
1677	684	131
1678	684	130
1679	684	130
1680	685	130
1681	685	129
1682	685	129
1683	686	128
1684	686	128
1685	686	127
1686	687	127
1687	687	127
1688	687	126
1689	688	126
1690	688	125
1691	688	125
1692	689	124
1693	689	124
1694	689	124
1695	690	123
1696	690	123
1697	690	122
1698	690	122
1699	691	121
1700	691	121
1701	691	121
1702	692	120
1703	692	120
1704	692	119
1705	693	119
1706	693	119
1707	693	118
1708	694	118
1709	694	117
1710	694	117
1711	694	116
1712	695	116
1713	695	116
1714	695	115
1715	696	115
1716	696	114
1717	696	114
1718	697	113
1719	697	113
1720	697	113
1721	698	112
1722	698	112
1723	698	111
1724	699	111
1725	699	111
1726	699	110
1727	699	110
1728	700	109
1729	700	109
1730	701	108
1731	701	108
1732	701	108
1733	702	107
1734	702	107
1735	702	106
1736	702	106
1737	703	106
1738	703	105
1739	703	105
1740	704	104
1741	704	104
1742	704	103
1743	705	103
1744	705	103
1745	705	102
1746	706	102
1747	706	101
1748	706	101
1749	707	101
1750	707	100
1751	707	100
1752	708	99
1753	708	99
1754	709	98
1755	709	98
1756	709	98
1757	709	97
1758	710	97
1759	710	96
1760	710	96
1761	711	96
1762	711	95
1763	711	95
1764	712	94
1765	712	94
1766	712	93
1767	713	93
1768	713	93
1769	713	92
1770	713	92
1771	714	91
1772	714	91
1773	714	91
1774	715	90
1775	715	90
1776	715	89
1777	716	89
1778	716	88
1779	716	88
1780	716	88
1781	717	87
1782	717	87
1783	717	86
1784	717	86
1785	718	86
1786	718	85
1787	718	85
1788	719	84
1789	719	84
1790	719	84
1791	720	83
1792	720	83
1793	720	82
1794	721	82
1795	721	81
1796	721	81
1797	721	81
1798	722	80
1799	722	80
1800	722	79
1801	723	79
1802	723	79
1803	723	78
1804	723	78
1805	724	77
1806	724	77
1807	724	76
1808	725	76
1809	725	76
1810	725	75
1811	726	75
1812	726	74
1813	726	74
1814	727	74
1815	727	73
1816	727	73
1817	727	72
1818	728	72
1819	728	72
1820	729	71
1821	729	71
1822	729	70
1823	730	70
1824	730	70
1825	730	69
1826	731	69
1827	731	68
1828	731	68
1829	731	67
1830	732	67
1831	732	67
1832	732	66
1833	733	66
1834	733	65
1835	733	65
1836	734	65
1837	734	64
1838	734	64
1839	735	63
1840	735	63
1841	736	63
1842	736	62
1843	736	62
1844	736	61
1845	737	61
1846	737	61
1847	737	60
1848	738	60
1849	738	59
1850	738	59
1851	739	59
1852	739	58
1853	739	58
1854	740	57
1855	740	57
1856	740	57
1857	740	56
1858	741	56
1859	741	55
1860	741	55
1861	742	55
1862	742	54
1863	742	54
1864	743	53
1865	743	53
1866	743	52
1867	744	52
1868	744	52
1869	744	51
1870	745	51
1871	745	50
